Nama Provinsi,Tahun,Tingkat Pengangguran
DKI JAKARTA,1998,12.32
DKI JAKARTA,1999,15.01
DKI JAKARTA,2000,12.08
DKI JAKARTA,2001,15.07
DKI JAKARTA,2002,14.39
DKI JAKARTA,2003,14.86
DKI JAKARTA,2004,14.7
DKI JAKARTA,2005,15.77
DKI JAKARTA,2006,11.4
DKI JAKARTA,2007,12.57
DKI JAKARTA,2008,12.16
DKI JAKARTA,2009,12.15
DKI JAKARTA,2010,11.05
DKI JAKARTA,2011,11.69
DKI JAKARTA,2012,9.67
DKI JAKARTA,2013,8.63
DKI JAKARTA,2014,8.47
DKI JAKARTA,2015,7.23
DKI JAKARTA,2016,6.12
DKI JAKARTA,2017,7.14
DKI JAKARTA,2018,6.65
DKI JAKARTA,2019,6.54
DKI JAKARTA,2020,10.95
DKI JAKARTA,2021,8.5
DKI JAKARTA,2022,7.18
DKI JAKARTA,2023,6.53
DKI JAKARTA,2024,6.21
GORONTALO,1986,
GORONTALO,1987,
GORONTALO,1988,
GORONTALO,1989,
GORONTALO,1990,
GORONTALO,1991,
GORONTALO,1992,
GORONTALO,1993,
GORONTALO,1994,
GORONTALO,1996,
GORONTALO,1997,
GORONTALO,1998,
GORONTALO,1999,
GORONTALO,2000,
GORONTALO,2001,7.78
GORONTALO,2002,13.17
GORONTALO,2003,10.17
GORONTALO,2004,12.29
GORONTALO,2005,14.04
GORONTALO,2006,7.62
GORONTALO,2007,7.16
GORONTALO,2008,5.65
GORONTALO,2009,5.89
GORONTALO,2010,5.16
GORONTALO,2011,6.74
GORONTALO,2012,4.47
GORONTALO,2013,4.15
GORONTALO,2014,4.18
GORONTALO,2015,4.65
GORONTALO,2016,2.76
GORONTALO,2017,4.28
GORONTALO,2018,3.7
GORONTALO,2019,3.76
GORONTALO,2020,4.28
GORONTALO,2021,3.01
GORONTALO,2022,2.58
GORONTALO,2023,3.06
GORONTALO,2024,3.13
JAMBI,1986,2.38
JAMBI,1987,1.37
JAMBI,1988,2.57
JAMBI,1989,2.26
JAMBI,1990,1.92
JAMBI,1991,2.39
JAMBI,1992,1.96
JAMBI,1993,1.8
JAMBI,1994,2.79
JAMBI,1996,3.8
JAMBI,1997,4.06
JAMBI,1998,2.59
JAMBI,1999,3.47
JAMBI,2000,3.68
JAMBI,2001,5.61
JAMBI,2002,5.78
JAMBI,2003,6.5
JAMBI,2004,6.04
JAMBI,2005,10.74
JAMBI,2006,6.62
JAMBI,2007,6.22
JAMBI,2008,5.14
JAMBI,2009,5.54
JAMBI,2010,5.39
JAMBI,2011,4.63
JAMBI,2012,3.2
JAMBI,2013,4.76
JAMBI,2014,5.08
JAMBI,2015,4.34
JAMBI,2016,4.0
JAMBI,2017,3.87
JAMBI,2018,3.73
JAMBI,2019,4.06
JAMBI,2020,5.13
JAMBI,2021,5.09
JAMBI,2022,4.59
JAMBI,2023,4.53
JAMBI,2024,4.48
JAWA BARAT,1986,4.05
JAWA BARAT,1987,3.74
JAWA BARAT,1988,4.24
JAWA BARAT,1989,4.09
JAWA BARAT,1990,3.23
JAWA BARAT,1991,3.91
JAWA BARAT,1992,3.62
JAWA BARAT,1993,3.82
JAWA BARAT,1994,5.87
JAWA BARAT,1996,6.71
JAWA BARAT,1997,6.42
JAWA BARAT,1998,7.69
JAWA BARAT,1999,9.83
JAWA BARAT,2000,8.99
JAWA BARAT,2001,11.77
JAWA BARAT,2002,13.19
JAWA BARAT,2003,12.49
JAWA BARAT,2004,13.69
JAWA BARAT,2005,15.53
JAWA BARAT,2006,14.59
JAWA BARAT,2007,13.08
JAWA BARAT,2008,12.08
JAWA BARAT,2009,10.96
JAWA BARAT,2010,10.33
JAWA BARAT,2011,9.96
JAWA BARAT,2012,9.08
JAWA BARAT,2013,9.16
JAWA BARAT,2014,8.45
JAWA BARAT,2015,8.72
JAWA BARAT,2016,8.89
JAWA BARAT,2017,8.22
JAWA BARAT,2018,8.23
JAWA BARAT,2019,8.04
JAWA BARAT,2020,10.46
JAWA BARAT,2021,9.82
JAWA BARAT,2022,8.31
JAWA BARAT,2023,7.44
JAWA BARAT,2024,6.75
JAWA TENGAH,1986,2.08
JAWA TENGAH,1987,2.33
JAWA TENGAH,1988,2.47
JAWA TENGAH,1989,2.32
JAWA TENGAH,1990,2.29
JAWA TENGAH,1991,2.06
JAWA TENGAH,1992,2.19
JAWA TENGAH,1993,2.1
JAWA TENGAH,1994,3.53
JAWA TENGAH,1996,3.69
JAWA TENGAH,1997,3.86
JAWA TENGAH,1998,5.07
JAWA TENGAH,1999,4.35
JAWA TENGAH,2000,4.86
JAWA TENGAH,2001,6.17
JAWA TENGAH,2002,6.66
JAWA TENGAH,2003,7.02
JAWA TENGAH,2004,7.72
JAWA TENGAH,2005,9.54
JAWA TENGAH,2006,8.02
JAWA TENGAH,2007,7.7
JAWA TENGAH,2008,7.35
JAWA TENGAH,2009,7.33
JAWA TENGAH,2010,6.21
JAWA TENGAH,2011,7.07
JAWA TENGAH,2012,5.61
JAWA TENGAH,2013,6.01
JAWA TENGAH,2014,5.68
JAWA TENGAH,2015,4.99
JAWA TENGAH,2016,4.63
JAWA TENGAH,2017,4.57
JAWA TENGAH,2018,4.47
JAWA TENGAH,2019,4.44
JAWA TENGAH,2020,6.48
JAWA TENGAH,2021,5.95
JAWA TENGAH,2022,5.57
JAWA TENGAH,2023,5.13
JAWA TENGAH,2024,4.78
JAWA TIMUR,1986,1.85
JAWA TIMUR,1987,2.23
JAWA TIMUR,1988,2.25
JAWA TIMUR,1989,2.27
JAWA TIMUR,1990,2.17
JAWA TIMUR,1991,2.15
JAWA TIMUR,1992,2.29
JAWA TIMUR,1993,2.46
JAWA TIMUR,1994,3.26
JAWA TIMUR,1996,3.47
JAWA TIMUR,1997,3.31
JAWA TIMUR,1998,4.1
JAWA TIMUR,1999,4.95
JAWA TIMUR,2000,4.39
JAWA TIMUR,2001,6.51
JAWA TIMUR,2002,6.43
JAWA TIMUR,2003,8.79
JAWA TIMUR,2004,7.69
JAWA TIMUR,2005,8.51
JAWA TIMUR,2006,8.19
JAWA TIMUR,2007,6.79
JAWA TIMUR,2008,6.42
JAWA TIMUR,2009,5.08
JAWA TIMUR,2010,4.25
JAWA TIMUR,2011,5.38
JAWA TIMUR,2012,4.11
JAWA TIMUR,2013,4.3
JAWA TIMUR,2014,4.19
JAWA TIMUR,2015,4.47
JAWA TIMUR,2016,4.21
JAWA TIMUR,2017,4.0
JAWA TIMUR,2018,3.91
JAWA TIMUR,2019,3.82
JAWA TIMUR,2020,5.84
JAWA TIMUR,2021,5.74
JAWA TIMUR,2022,5.49
JAWA TIMUR,2023,4.88
JAWA TIMUR,2024,4.19
KALIMANTAN BARAT,1986,1.52
KALIMANTAN BARAT,1987,1.27
KALIMANTAN BARAT,1988,1.67
KALIMANTAN BARAT,1989,1.55
KALIMANTAN BARAT,1990,1.5
KALIMANTAN BARAT,1991,1.0
KALIMANTAN BARAT,1992,1.23
KALIMANTAN BARAT,1993,1.11
KALIMANTAN BARAT,1994,2.34
KALIMANTAN BARAT,1996,3.43
KALIMANTAN BARAT,1997,3.61
KALIMANTAN BARAT,1998,3.65
KALIMANTAN BARAT,1999,2.02
KALIMANTAN BARAT,2000,4.23
KALIMANTAN BARAT,2001,4.84
KALIMANTAN BARAT,2002,8.57
KALIMANTAN BARAT,2003,6.53
KALIMANTAN BARAT,2004,7.9
KALIMANTAN BARAT,2005,8.13
KALIMANTAN BARAT,2006,8.53
KALIMANTAN BARAT,2007,6.47
KALIMANTAN BARAT,2008,5.41
KALIMANTAN BARAT,2009,5.44
KALIMANTAN BARAT,2010,4.62
KALIMANTAN BARAT,2011,4.6
KALIMANTAN BARAT,2012,3.54
KALIMANTAN BARAT,2013,3.99
KALIMANTAN BARAT,2014,4.04
KALIMANTAN BARAT,2015,5.15
